VIDEO,OSATS_RESPECT,OSATS_MOTION,OSATS_INSTRUMENT,OSATS_SUTURE,OSATS_FLOW,OSATS_KNOWLEDGE,OSATS_PERFORMANCE,OSATSFINALQUALITY
J88T,4,4,4,4,4,4,4,4
I45Y,3,3,3,3,3,3,3,3
Q43O,2,1,2,1,1,1,1,1
K55R,4,3,4,4,3,4,4,4
H13A,4,3,4,4,3,4,4,4
D94Z,1,1,1,1,1,1,1,1
S76W,4,3,4,4,4,4,4,4
V15D,4,3,4,3,3,4,4,4
O61K,2,2,2,2,2,2,2,2
E86N,3,3,3,3,3,3,3,3
M11V,2,2,2,2,2,2,2,2
A83X,4,3,4,4,4,4,4,4
D17H,2,2,2,2,2,3,2,2
H87Y,4,3,4,4,4,4,4,4
S16X,2,2,2,2,2,3,2,2
H22T,4,3,4,4,4,4,4,4
D59F,4,3,4,4,4,4,4,4
F77P,2,2,2,2,2,2,2,2
Y65C,2,2,2,2,2,2,2,2
S42U,2,2,2,1,2,1,2,2
P05H,4,3,4,4,4,4,4,4
C18X,2,2,2,2,2,2,2,2
I70X,2,1,2,1,1,1,1,1
H33Z,2,1,2,1,1,1,1,1
T90M,2,1,2,1,1,1,1,1
J77I,4,3,4,4,4,4,4,4
V34K,2,1,2,1,1,1,1,1
O74E,4,3,4,4,3,4,4,4
S66A,4,3,4,4,4,4,4,4
R63B,2,1,2,1,2,1,1,1
R65M,2,1,1,1,1,1,1,1
A36O,2,2,2,2,2,2,2,2
U12G,3,2,3,3,3,3,3,3
B68G,3,3,3,3,3,3,3,3
X56N,1,1,1,1,1,1,1,1
O87J,2,2,2,1,2,1,1,1
K11Q,2,1,1,1,1,1,1,1
V23S,3,3,3,3,3,4,3,3
X99A,2,2,2,2,2,2,2,2
O94X,4,3,4,4,4,4,4,4
N93T,3,3,3,3,3,3,3,3
L88B,2,2,2,1,2,1,1,1
Q58C,2,1,2,1,1,1,1,1
E66F,4,3,4,4,4,4,4,4
V16A,1,1,1,1,1,1,1,1
Z49X,3,3,3,3,3,4,3,3
M66Y,4,4,4,4,4,4,4,4
B53D,2,1,2,1,1,1,1,1
G21B,4,3,4,3,3,4,4,4
A66S,4,3,4,4,3,4,4,4
K12K,4,3,4,4,4,4,4,4
X36T,2,1,2,1,1,1,1,1
T69O,4,3,4,4,4,4,4,4
W69R,4,3,4,4,4,4,4,4
Z28E,2,2,2,2,2,2,2,2
F66N,3,3,3,3,3,3,3,3
Z33H,3,3,3,3,3,3,3,3
A99X,3,3,4,3,3,4,3,4
T39N,2,1,2,1,2,1,1,1
O10W,2,2,2,1,2,1,1,1
N31Z,4,3,4,4,3,4,4,4
A41X,4,3,4,4,4,4,4,4
